; Gadget version 2.3.7 running on mfri-gadget Wed Jul 27 17:21:40 2022
; Predation output file for the following predators igfs
; Consuming the following preys lingmat
; Printing the following information at the end of each timestep
; year-step-area-pred length-prey length-biomass consumed
1986    2          1       len1     len136 0.000367185
1986    2          1       len1     len140 0.000865246
1986    2          1       len1     len144 0.00173467
1986    2          1       len1     len148 0.00295907
1986    2          1       len1     len152 0.00429525
1986    2          1       len1     len156 0.00530577
1986    3          1       len1      len20          0
1986    3          1       len1      len24          0
1986    3          1       len1      len28          0
1986    3          1       len1      len32          0
1986    3          1       len1      len36          0
1986    3          1       len1      len40          0
1986    3          1       len1      len44          0
1986    3          1       len1      len48          0
1986    3          1       len1      len52          0
1986    3          1       len1      len56          0
1986    3          1       len1      len60          0
1986    3          1       len1      len64          0
1986    3          1       len1      len68          0
1986    3          1       len1      len72          0
1986    3          1       len1      len76          0
1986    3          1       len1      len80          0
1986    3          1       len1      len84          0
1986    3          1       len1      len88          0
1986    3          1       len1      len92          0
1986    3          1       len1      len96          0
1986    3          1       len1     len100          0
1986    3          1       len1     len104          0
1986    3          1       len1     len108 4.88871e-10
1986    3          1       len1     len112 3.58149e-09
1986    3          1       len1     len116 2.23037e-08
1986    3          1       len1     len120 1.18087e-07
1986    3          1       len1     len124 5.31629e-07
1986    3          1       len1     len128 2.03541e-06
1986    3          1       len1     len132 6.62802e-06
1986    3          1       len1     len136 1.83593e-05
1986    3          1       len1     len140 4.32623e-05
1986    3          1       len1     len144 8.67335e-05
1986    3          1       len1     len148 0.000147953
1986    3          1       len1     len152 0.000214762
1986    3          1       len1     len156 0.000265288
1986    4          1       len1      len20          0
1986    4          1       len1      len24          0
1986    4          1       len1      len28          0
1986    4          1       len1      len32          0
1986    4          1       len1      len36          0
1986    4          1       len1      len40          0
1986    4          1       len1      len44          0
1986    4          1       len1      len48          0
1986    4          1       len1      len52          0
1986    4          1       len1      len56          0
1986    4          1       len1      len60          0
1986    4          1       len1      len64          0
1986    4          1       len1      len68          0
1986    4          1       len1      len72          0
1986    4          1       len1      len76          0
1986    4          1       len1      len80          0
1986    4          1       len1      len84          0
1986    4          1       len1      len88          0
1986    4          1       len1      len92          0
1986    4          1       len1      len96          0
1986    4          1       len1     len100          0
1986    4          1       len1     len104          0
1986    4          1       len1     len108          0
1986    4          1       len1     len112 1.79075e-10
1986    4          1       len1     len116 1.11518e-09
1986    4          1       len1     len120 5.90437e-09
1986    4          1       len1     len124 2.65815e-08
1986    4          1       len1     len128 1.0177e-07
1986    4          1       len1     len132 3.31401e-07
1986    4          1       len1     len136 9.17963e-07
1986    4          1       len1     len140 2.16311e-06
